date	Day.Of.Week	Page.Loads	Unique.Visits	First.Time.Visits	0	1	2	3	4	Returning.Visits
4/23/2015	5	6349	4360	3664	614.2028375	27.55937632	11.64411723	51.74271968	-11.6593746	696
4/24/2015	6	4660	3387	2845	615.5624	-112.5432342	3.045816413	34.5937732	1.044436339	542
4/25/2015	7	3354	2420	2035	616.773865	-168.7968305	-11.61781257	-59.93905622	7.848026341	385
4/26/2015	1	4371	3189	2688	617.678412	-95.15728878	-9.948514931	-6.385960125	-14.53604882	501
4/27/2015	2	6534	4731	3977	617.0429824	53.48388426	6.83825037	54.90476207	19.95974446	754
4/28/2015	3	6832	4941	4161	615.7254563	167.4028043	19.59746769	-11.20807653	-21.71417687	780
4/29/2015	4	6689	4870	4110	612.5704725	157.3617275	7.028977579	-44.46893694	20.20754419	760
4/30/2015	5	5849	4086	3450	608.177381	30.4224087	-14.05841695	27.75548491	-11.62087185	636
5/1/2015	6	4247	3064	2562	604.4097697	-116.1512664	-12.56167377	32.75443954	-2.269147578	502
5/2/2015	7	3219	2360	1958	601.4182396	-176.2172652	3.623803655	-43.16514432	15.69814943	402
5/3/2015	1	4211	3210	2765	598.5531932	-110.2408402	7.159324012	-16.64496639	-25.14564342	445
5/4/2015	2	6424	4752	4043	597.0859552	33.28483004	-0.590557339	53.31945446	27.20510823	709
5/5/2015	3	6223	4520	3818	595.9654512	146.8179836	-6.201596537	-10.56638212	-23.90517502	702
5/6/2015	4	6551	4768	4059	594.935057	149.2032452	-1.204348577	-50.86212945	16.77181931	709
5/7/2015	5	6343	4449	3770	593.6392856	43.12686485	5.307538163	37.37029243	-8.132557286	679
5/8/2015	6	4696	3366	2824	591.1171046	-90.51238278	1.971531918	34.64166443	0.794064515	542
5/9/2015	7	3134	2239	1846	587.632594	-150.6806833	-2.141332993	-53.0360405	6.416077774	393
5/10/2015	1	3868	2844	2365	583.1315126	-95.08768029	1.70087891	-9.489890877	-12.63188198	479
5/11/2015	2	6020	4482	3787	576.5683267	29.67202796	5.607049382	58.72928888	19.77553052	695
5/12/2015	3	5705	4160	3490	569.1172481	132.1502041	4.914162793	-11.78999955	-23.58261482	670
5/13/2015	4	5752	4016	3348	561.5731204	138.306295	-1.435009917	-54.99001014	22.73603829	668
5/14/2015	5	5181	3605	3008	553.9688797	43.11188757	-9.222705122	31.30220705	-16.95485649	597
5/15/2015	6	4269	2913	2404	547.0198566	-83.64798724	-7.442083098	44.92213781	6.671579769	509
5/16/2015	7	2633	1818	1473	540.0060879	-151.8587046	2.722193905	-51.05955629	4.75464977	345
5/17/2015	1	3336	2376	1988	532.9938676	-110.9552302	12.17300961	-25.13305188	-13.38270094	388
5/18/2015	2	5127	3587	2955	527.1967301	12.74311122	10.11581121	64.01015789	16.02090488	632
5/19/2015	3	5449	3767	3149	521.1738084	126.3306324	-10.34312791	-6.241005995	-14.32279453	618
5/20/2015	4	5746	3956	3371	515.0854195	147.322094	-22.68248901	-59.79692741	11.67071544	585
5/21/2015	5	5115	3642	3046	509.9526604	62.66012194	-2.05051974	36.59282459	-10.52512529	596
5/22/2015	6	3995	2749	2243	505.1815317	-68.21036939	25.35064796	36.80599235	9.922758602	506
5/23/2015	7	2618	1884	1585	501.0456553	-150.8302074	19.69386636	-53.50873037	-8.828477994	299
5/24/2015	1	2961	2117	1763	498.3386858	-124.732898	-16.16214267	-7.183153166	4.448683452	354
5/25/2015	2	4090	2913	2427	496.2391325	-10.94363219	-37.62018298	50.6793806	2.261795899	486
5/26/2015	3	5201	3637	3073	496.5454767	110.4810571	-8.246945273	-18.5625086	-11.64924958	564
5/27/2015	4	5321	3797	3146	497.8828526	147.3086747	31.85379385	-43.27046135	17.05329263	651
5/28/2015	5	5219	3509	2887	499.2221352	70.81134151	26.5700991	38.18912875	-16.31495869	622
5/29/2015	6	4017	2804	2338	499.9290515	-59.55096069	-14.63771281	28.23694224	9.899529721	466
5/30/2015	7	2297	1629	1346	500.1939471	-141.2869902	-31.37347334	-49.48506526	1.923802385	283
5/31/2015	1	3145	2226	1860	499.8998964	-110.8271117	-1.477868547	-7.224036041	-15.46705785	366
6/1/2015	2	4905	3419	2797	499.2852024	7.608547922	29.940861	53.29486192	27.4044652	622
6/2/2015	3	4747	3284	2701	498.0385308	120.2589812	16.80647073	-14.64322306	-33.00318456	583
6/3/2015	4	4591	3317	2713	497.3726865	140.3217033	-18.75935496	-45.79390007	30.23007225	604
6/4/2015	5	4431	3173	2652	496.9085726	49.83604766	-27.10926889	30.71846844	-19.91852169	521
6/5/2015	6	3608	2523	2068	497.9561534	-80.94434832	3.027585687	32.82490753	3.292594409	455
6/6/2015	7	2422	1673	1336	499.2592896	-154.649919	22.60321035	-47.33161011	12.75206022	337
